ip;date;method;url;code;length;duration
192.168.1.1;2013/10/03 03:22:26;GET;/site;200;51930;635023
192.168.1.1;2013/10/03 03:23:27;GET;/site;200;51930;692985
192.168.1.1;2013/10/03 03:24:08;GET;/site;200;10963;2198806
192.168.1.1;2013/10/03 03:24:19;GET;/site;200;10955;3374299
192.168.1.1;2013/10/03 03:24:27;GET;/site;200;51930;656899
192.168.1.1;2013/10/03 03:25:21;GET;/site;200;10965;2178765
192.168.1.1;2013/10/03 03:25:26;GET;/site;200;51930;670803
192.168.1.1;2013/10/03 03:25:41;GET;/site;200;10929;1985689
192.168.1.1;2013/10/03 03:26:26;GET;/site;200;51930;1190348
192.168.1.1;2013/10/03 03:26:57;GET;/site;200;11000;1318242
192.168.1.1;2013/10/03 03:27:26;GET;/site;200;51930;3407853
192.168.1.1;2013/10/03 03:28:26;GET;/site;200;51930;3309083
192.168.1.1;2013/10/03 03:28:37;GET;/site;200;11072;8164567
192.168.1.1;2013/10/03 03:29:26;GET;/site;200;51930;1019204
192.168.1.1;2013/10/03 03:30:26;GET;/site;200;51930;3244281
192.168.1.1;2013/10/03 03:31:26;GET;/site;200;51930;977582
192.168.1.1;2013/10/03 03:32:26;GET;/site;200;51930;3726682
192.168.1.1;2013/10/03 03:33:26;GET;/site;200;51930;3119402
192.168.1.1;2013/10/03 03:34:26;GET;/site;200;51930;3321003
192.168.1.1;2013/10/03 03:34:45;GET;/site;200;11000;3532112
192.168.1.1;2013/10/03 03:35:26;GET;/site;200;51930;2675592
192.168.1.1;2013/10/03 03:36:26;GET;/site;200;51930;3149092
192.168.1.1;2013/10/03 03:37:26;GET;/site;200;51930;3527081
192.168.1.1;2013/10/03 03:38:26;GET;/site;200;51930;868798
192.168.1.1;2013/10/03 03:39:26;GET;/site;200;51930;979550
192.168.1.1;2013/10/03 03:39:30;GET;/site;200;10965;2236526
192.168.1.1;2013/10/03 03:40:26;GET;/site;200;51930;616229
192.168.1.1;2013/10/03 03:40:38;GET;/site;200;10931;1858760
192.168.1.1;2013/10/03 03:40:49;GET;/site;200;11001;1501227
192.168.1.1;2013/10/03 03:41:26;GET;/site;200;51930;650015
192.168.1.1;2013/10/03 03:42:26;GET;/site;200;51930;632703
192.168.1.1;2013/10/03 03:43:26;GET;/site;200;51930;3194788
192.168.1.1;2013/10/03 03:44:26;GET;/site;200;51930;3437543
192.168.1.1;2013/10/03 03:45:26;GET;/site;200;51930;3411764
192.168.1.1;2013/10/03 03:47:26;GET;/site;200;51930;3785769
192.168.1.1;2013/10/03 03:47:26;GET;/site;200;11144;8985723
192.168.1.1;2013/10/03 03:48:26;GET;/site;200;51930;4132781
192.168.1.1;2013/10/03 03:48:41;GET;/site;200;10969;9603358
192.168.1.1;2013/10/03 03:49:26;GET;/site;200;51930;6217208
192.168.1.1;2013/10/03 03:50:26;GET;/site;200;51930;5567137
192.168.1.1;2013/10/03 03:51:26;GET;/site;200;51930;3611310
192.168.1.1;2013/10/03 03:52:26;GET;/site;200;51930;3861743
192.168.1.1;2013/10/03 03:53:26;GET;/site;200;51930;2864548
192.168.1.1;2013/10/03 03:54:26;GET;/site;200;51930;3099491
192.168.1.1;2013/10/03 03:55:26;GET;/site;200;51930;2841966
192.168.1.1;2013/10/03 03:56:26;GET;/site;200;51930;1318511
192.168.1.1;2013/10/03 03:57:26;GET;/site;200;51930;2194092
192.168.1.1;2013/10/03 03:58:26;GET;/site;200;51930;856141
192.168.1.1;2013/10/03 03:59:26;GET;/site;200;51930;913433
192.168.1.1;2013/10/03 04:00:26;GET;/site;200;51930;619289
192.168.1.1;2013/10/03 04:02:26;GET;/site;200;51930;869116
192.168.1.1;2013/10/03 04:03:26;GET;/site;200;51930;668980
192.168.1.1;2013/10/03 04:04:24;GET;/site;200;10966;2018173
192.168.1.1;2013/10/03 04:04:26;GET;/site;200;51930;719495
192.168.1.1;2013/10/03 04:05:26;GET;/site;200;51930;715043
192.168.1.1;2013/10/03 04:06:26;GET;/site;200;51930;753635
192.168.1.1;2013/10/03 04:07:26;GET;/site;200;51930;785476
192.168.1.1;2013/10/03 04:08:26;GET;/site;200;51930;1450786
192.168.1.1;2013/10/03 04:09:26;GET;/site;200;51930;862195
192.168.1.1;2013/10/03 04:10:26;GET;/site;200;51930;1285632
192.168.1.1;2013/10/03 04:11:26;GET;/site;200;51930;780695
192.168.1.1;2013/10/03 04:12:26;GET;/site;200;51930;1312107
192.168.1.1;2013/10/03 04:13:21;GET;/site;200;11020;2407092
192.168.1.1;2013/10/03 04:13:26;GET;/site;200;51930;718681
192.168.1.1;2013/10/03 04:14:26;GET;/site;200;51930;626555
192.168.1.1;2013/10/03 04:15:26;GET;/site;200;51930;594483
192.168.1.1;2013/10/03 04:16:26;GET;/site;200;51930;622568
192.168.1.1;2013/10/03 04:17:26;GET;/site;200;51930;732368
192.168.1.1;2013/10/03 04:18:27;GET;/site;200;51930;673168
192.168.1.1;2013/10/03 04:19:27;GET;/site;200;51930;1393577
192.168.1.1;2013/10/03 04:20:26;GET;/site;200;51930;830959
192.168.1.1;2013/10/03 04:21:26;GET;/site;200;51930;1062950
192.168.1.1;2013/10/03 04:22:26;GET;/site;200;51930;666387
192.168.1.1;2013/10/03 04:23:26;GET;/site;200;51930;851574
192.168.1.1;2013/10/03 04:24:07;GET;/site;200;11072;2278947
192.168.1.1;2013/10/03 04:24:26;GET;/site;200;51930;707610
192.168.1.1;2013/10/03 04:25:27;GET;/site;200;51930;718235
192.168.1.1;2013/10/03 04:26:27;GET;/site;200;51930;704383
192.168.1.1;2013/10/03 04:27:16;GET;/site;200;11000;2245672
192.168.1.1;2013/10/03 04:27:26;GET;/site;200;51930;661404
192.168.1.1;2013/10/03 04:29:26;GET;/site;200;51930;712928
192.168.1.1;2013/10/03 04:30:26;GET;/site;200;51930;655204
192.168.1.1;2013/10/03 04:30:26;GET;/site;200;10966;1243217
192.168.1.1;2013/10/03 04:30:41;GET;/site;200;10997;1945598
192.168.1.1;2013/10/03 04:31:26;GET;/site;200;51930;672801
192.168.1.1;2013/10/03 04:32:23;GET;/site;200;10955;2441047
192.168.1.1;2013/10/03 04:32:24;GET;/site;200;10997;2582656
192.168.1.1;2013/10/03 04:32:26;GET;/site;200;51930;786556
192.168.1.1;2013/10/03 04:33:14;GET;/site;200;11020;1303224
192.168.1.1;2013/10/03 04:33:26;GET;/site;200;51930;708924
192.168.1.1;2013/10/03 04:34:26;GET;/site;200;51930;1119882
192.168.1.1;2013/10/03 04:35:26;GET;/site;200;51930;692671
192.168.1.1;2013/10/03 04:35:51;GET;/site;200;10966;1274263
192.168.1.1;2013/10/03 04:36:26;GET;/site;200;51930;666682
192.168.1.1;2013/10/03 04:37:26;GET;/site;200;51930;726940
192.168.1.1;2013/10/03 04:38:26;GET;/site;200;51930;701681
192.168.1.1;2013/10/03 04:39:26;GET;/site;200;51930;650931
192.168.1.1;2013/10/03 04:40:26;GET;/site;200;51930;687720
192.168.1.1;2013/10/03 04:41:26;GET;/site;200;51930;963011
192.168.1.1;2013/10/03 04:42:26;GET;/site;200;51930;1073168
192.168.1.1;2013/10/03 04:43:27;GET;/site;200;51930;704529
192.168.1.1;2013/10/03 04:44:26;GET;/site;200;51930;598451
192.168.1.1;2013/10/03 04:45:26;GET;/site;200;51930;670732
192.168.1.1;2013/10/03 04:46:26;GET;/site;200;51930;637512
192.168.1.1;2013/10/03 04:47:26;GET;/site;200;51930;642921
192.168.1.1;2013/10/03 04:48:27;GET;/site;200;51930;662242
192.168.1.1;2013/10/03 04:49:26;GET;/site;200;51930;653221
192.168.1.1;2013/10/03 04:50:26;GET;/site;200;51930;717220
192.168.1.1;2013/10/03 04:50:26;GET;/site;200;11020;1360822
192.168.1.1;2013/10/03 04:51:26;GET;/site;200;51930;702944
192.168.1.1;2013/10/03 04:51:40;GET;/site;200;11000;1453487
192.168.1.1;2013/10/03 04:52:26;GET;/site;200;51930;836513
192.168.1.1;2013/10/03 04:53:27;GET;/site;200;51930;661965
192.168.1.1;2013/10/03 04:53:45;GET;/site;200;11021;2022318
192.168.1.1;2013/10/03 04:54:26;GET;/site;200;51930;639414
192.168.1.1;2013/10/03 04:55:26;GET;/site;200;51930;708979
192.168.1.1;2013/10/03 04:56:26;GET;/site;200;51930;681358
192.168.1.1;2013/10/03 04:57:26;GET;/site;200;51930;817068
192.168.1.1;2013/10/03 04:58:26;GET;/site;200;51930;666791
192.168.1.1;2013/10/03 04:59:26;GET;/site;200;51930;713601
192.168.1.1;2013/10/03 05:00:26;GET;/site;200;51930;741994
192.168.1.1;2013/10/03 05:01:26;GET;/site;200;51930;694953
192.168.1.1;2013/10/03 05:02:27;GET;/site;200;51930;7884777
192.168.1.1;2013/10/03 05:03:26;GET;/site;200;51930;772795
192.168.1.1;2013/10/03 05:04:26;GET;/site;200;51930;681881
